feature,family,coef,abs_coef,direction,mean_abs_shap,mean_signed_shap,mean_coef_cv,std_coef_cv,sign_consistency_cv
spectralFluxV_sma3nz_stddevNorm,Spectral Balance,-0.061164012645303745,0.061164012645303745,HC,0.04382514634487129,-7.604267291953127e-19,-0.0791844446009921,0.02705362725085545,1.0
loudness_sma3_stddevFallingSlope,Loudness/Energy,0.05961883932753029,0.05961883932753029,PD,0.04123973264154489,1.4258001172412112e-19,0.03038324373134916,0.04340761280285229,0.6
hammarbergIndexUV_sma3nz_amean,Spectral Balance,0.05958684451208188,0.05958684451208188,PD,0.040575837501941894,-1.7109601406894535e-18,0.03685809890356462,0.0413209806445866,0.6
mfcc3_sma3_stddevNorm,MFCC (Cepstral),0.05908280699414292,0.05908280699414292,PD,0.030936814032112105,4.2774003517236337e-19,0.05573735853193511,0.044093239442228316,1.0
VoicedSegmentsPerSec,Temporal/Rhythm,-0.058316352104902824,0.058316352104902824,HC,0.048620173211489016,1.5208534583906253e-18,-0.05845641507105117,0.041043638225220794,1.0
HNRdBACF_sma3nz_stddevNorm,Harmonicity/Noise,-0.05822146846986932,0.05822146846986932,HC,0.03280695974905174,-1.2594567702297367e-18,-0.08766127596179048,0.07061178461485819,1.0
F3bandwidth_sma3nz_stddevNorm,Formants,-0.05812758351204996,0.05812758351204996,HC,0.04731316557422057,9.505334114941408e-19,-0.043577804895179394,0.055858186577943336,0.6
spectralFluxUV_sma3nz_amean,Spectral Balance,0.056476583741608195,0.056476583741608195,PD,0.026990404731284518,4.752667057470704e-20,0.03302089567228965,0.034573111461922226,0.6
mfcc2_sma3_amean,MFCC (Cepstral),0.0550583655297739,0.0550583655297739,PD,0.045444188691907327,3.8021336459765633e-19,0.052617127722460744,0.041088338624912076,1.0
HNRdBACF_sma3nz_amean,Harmonicity/Noise,0.05226171059477885,0.05226171059477885,PD,0.04185271667538695,-1.4733267878159183e-18,0.05143221118248977,0.048493715800062176,0.6
mfcc4V_sma3nz_stddevNorm,MFCC (Cepstral),-0.05077432363877309,0.05077432363877309,HC,0.012187084132398239,-1.8773034877009284e-18,-0.039552086696342956,0.08026623324780051,0.6
F1bandwidth_sma3nz_stddevNorm,Formants,0.05010559141195791,0.05010559141195791,PD,0.04181109731750001,1.5208534583906253e-18,0.06528866368197914,0.05690848431400577,1.0
hammarbergIndexV_sma3nz_amean,Spectral Balance,0.0497523347212975,0.0497523347212975,PD,0.0363510694386454,-8.079533997700197e-19,0.07094881848135062,0.03130440858187076,1.0
logRelF0-H1-A3_sma3nz_amean,Harmonicity/Noise,-0.048429593640733855,0.048429593640733855,HC,0.03946850910684674,-1.8535401524135748e-18,-0.043246034249339524,0.048966105919883166,0.6
loudnessPeaksPerSec,Temporal/Rhythm,-0.04642695608800913,0.04642695608800913,HC,0.03834932910729427,6.653733880458986e-19,-0.029417045596241236,0.021071463330056304,1.0
F1amplitudeLogRelF0_sma3nz_stddevNorm,Formants,0.045884941592363275,0.045884941592363275,PD,0.03673196696043104,4.752667057470704e-20,0.045770788370427654,0.01395283744410697,1.0
F3amplitudeLogRelF0_sma3nz_stddevNorm,Formants,0.0458321511917137,0.0458321511917137,PD,0.03579838371298865,6.178467174711915e-19,0.04631648204154202,0.015483748812047445,1.0
